                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0789,                 1.7526,                0.95223,                 1.3731,                0.80912,                0.80652,                0.84557,                0.54628,                0.78911,                0.78387,                0.81398,                 0.4176,                 1.0689,                 1.4769,                0.91514,                 1.4018,             0.00054773,             0.00054773,             0.00054773
                      2,                 1.1355,                 1.8522,                0.98976,                 1.4161,                0.82122,                0.79616,                0.84447,                0.55683,                0.81552,                0.78921,                0.82863,                0.43187,                 1.0068,                 1.4019,                0.84234,                 1.3895,              0.0010488,              0.0010488,              0.0010488
                      3,                 1.1498,                 1.8276,                 0.9715,                 1.4446,                0.77719,                0.85626,                0.86307,                0.61456,                0.77719,                0.85626,                0.86162,                0.46073,                0.98384,                 1.4075,                0.86195,                   1.39,              0.0014948,              0.0014948,              0.0014948
                      4,                 1.1776,                 1.7818,                0.97351,                 1.4284,                0.80687,                0.80916,                0.85529,                0.60814,                0.80213,                0.80221,                0.85002,                0.43959,                 1.0055,                 1.3739,                0.86934,                 1.3904,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.1273,                 1.7701,                0.98214,                 1.3943,                0.82883,                0.82234,                0.85382,                0.61265,                0.82638,                0.82302,                0.85343,                0.43709,                0.98492,                 1.4192,                0.82711,                 1.3517,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.1158,                   1.77,                0.98198,                 1.3981,                 0.8315,                0.80784,                0.85825,                0.57947,                0.82212,                0.79637,                0.83905,                0.43574,                0.99256,                 1.5112,                0.80889,                 1.3883,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.1195,                 1.8026,                0.95264,                 1.4111,                 0.8504,                0.80506,                0.87284,                0.60019,                0.84198,                0.79673,                0.85677,                 0.4752,                0.99569,                 1.3404,                0.81756,                 1.3871,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.0731,                 1.7338,                0.93841,                   1.35,                0.85977,                0.80949,                 0.8781,                0.58555,                0.85221,                0.80116,                0.86703,                0.43559,                 1.0149,                 1.4189,                0.81364,                 1.3751,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.0923,                  1.794,                0.95405,                 1.3812,                0.83916,                0.82457,                 0.8714,                 0.6057,                0.83052,                0.81473,                0.85052,                0.43923,                0.98275,                 1.3841,                0.79632,                 1.3589,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.1055,                 1.7493,                 0.9476,                 1.3791,                0.81498,                0.83692,                0.86438,                0.54718,                0.78709,                0.80359,                0.80323,                0.42716,                 1.0034,                   1.32,                0.80842,                 1.3775,             0.00092435,             0.00092435,             0.00092435
                     11,                0.99193,                 1.6141,                0.89112,                 1.3289,                0.85172,                0.79954,                0.87366,                0.60054,                0.85351,                0.80092,                0.87192,                0.46213,                0.93155,                 1.3038,                0.82232,                 1.3257,             0.00084184,             0.00084184,             0.00084184
                     12,                 0.9856,                 1.6099,                0.87819,                  1.324,                0.85512,                0.79944,                0.88124,                0.61594,                0.85512,                0.79944,                0.88027,                0.46821,                0.94466,                 1.3245,                0.80726,                 1.3284,             0.00075932,             0.00075932,             0.00075932
                     13,                0.96539,                 1.5932,                 0.8512,                 1.3081,                0.86013,                0.81473,                0.88385,                0.63527,                0.86013,                0.81473,                0.88357,                0.49649,                0.85418,                 1.2719,                0.75024,                 1.2872,              0.0006768,              0.0006768,              0.0006768
                     14,                0.96961,                 1.6493,                0.85026,                 1.3289,                0.81757,                0.83833,                0.87382,                0.58712,                0.81064,                0.83171,                 0.8626,                0.45463,                0.95256,                 1.3311,                0.77575,                 1.3403,             0.00059429,             0.00059429,             0.00059429
                     15,                0.96943,                 1.6173,                0.85133,                 1.3317,                0.86573,                0.79955,                0.88074,                0.60046,                0.85072,                0.78347,                0.84112,                0.45215,                0.93634,                 1.3316,                0.79243,                 1.3306,             0.00051177,             0.00051177,             0.00051177
                     16,                0.94654,                 1.5844,                 0.8332,                 1.3032,                0.86944,                0.81059,                0.89014,                0.62958,                0.86151,                0.80226,                0.88335,                0.47594,                0.88095,                 1.3154,                0.75029,                 1.3099,             0.00042925,             0.00042925,             0.00042925
                     17,                0.93536,                 1.5795,                0.83081,                 1.2958,                0.87851,                0.81294,                0.88827,                0.61949,                 0.8679,                0.80603,                 0.8828,                0.48654,                 0.9181,                 1.3025,                0.77332,                 1.3082,             0.00034674,             0.00034674,             0.00034674
                     18,                0.92558,                 1.5713,                0.82794,                 1.2848,                0.81745,                0.84482,                0.88843,                0.60091,                0.81192,                0.82988,                0.87069,                0.44907,                0.92997,                 1.3476,                0.76116,                 1.3345,             0.00026422,             0.00026422,             0.00026422
                     19,                0.93217,                  1.582,                0.81961,                 1.2834,                0.87501,                0.80769,                0.88379,                0.60857,                 0.8768,                0.80908,                0.88422,                0.47333,                 0.8898,                 1.3022,                0.75651,                 1.3011,              0.0001817,              0.0001817,              0.0001817
                     20,                0.92015,                 1.5626,                0.81579,                 1.2875,                0.87486,                0.80728,                0.88314,                0.61477,                0.86904,                0.80033,                0.87858,                0.48279,                0.91255,                 1.3135,                0.74782,                 1.3126,             9.9187e-05,             9.9187e-05,             9.9187e-05
